zpp1,zpp2,zpp3,sp1,sw1,sp2,sp3,sp0,zpp0,ssp1,ssp2,ssp3,ssp4,ssp5,sw2,kpw1,kpp1,kpw2,kpp2,kpw3,kpp3,kpw4,kpp4,sw3,sw4,po2,po18,po9,po5,po14,po11,po4,po16,po6,po17,po10,po3,po15,po12,po1,po8,po13,po7,plec,kierunek,staz,zmiana,oddzial
3,3,3,2,2,2,2,2,3,3,3,3,3,2,2,1,1,1,1,1,1,1,1,2,2,1,1,2,2,6,2,2,3,2,2,2,3,2,2,3,2,2,2,K,PO,32,Raz,nie
1,2,1,1,2,4,4,4,1,4,5,5,5,7,2,1,1,1,1,2,3,1,1,2,2,5,2,2,5,3,1,3,2,2,2,2,2,2,2,2,2,2,1,K,PO,30,Nigdy,nie
4,3,3,2,4,4,2,3,2,2,2,5,5,1,4,1,1,1,1,1,1,1,1,4,2,1,2,2,3,3,1,3,7,4,6,2,5,1,2,3,2,3,6,M,RM,1,Nigdy,nie
4,4,2,1,4,2,2,3,3,5,5,3,5,4,4,4,1,1,1,4,1,4,1,4,4,5,5,5,5,4,7,2,1,5,1,1,5,2,2,7,2,5,4,K,PO,30,Trzy i więcej,nie
5,5,5,5,2,2,2,2,5,2,3,1,4,1,2,1,1,5,1,5,1,5,1,2,1,1,1,1,4,1,1,1,1,2,1,1,1,1,2,6,2,1,2,K,PO,20,Trzy i więcej,nie
3,2,1,2,2,3,3,4,3,5,7,6,6,3,4,1,1,2,1,1,1,1,1,4,4,3,1,1,1,1,5,1,1,1,1,4,1,1,1,1,2,1,1,K,PO,35,Nigdy,nie
2,2,3,3,2,4,4,3,3,4,3,4,5,4,2,2,2,2,2,2,3,2,3,2,3,3,3,2,4,2,3,3,2,2,2,2,2,2,2,4,2,2,3,M,PO,7,Trzy i więcej,tak
1,1,1,1,4,5,5,5,1,7,7,7,7,7,4,1,1,1,1,1,1,1,1,4,4,6,4,3,6,5,4,3,6,5,4,4,3,6,2,6,1,2,2,K,PO,0,Trzy i więcej,nie
5,3,2,3,2,2,3,2,5,2,1,2,2,3,1,1,1,1,1,2,2,2,2,1,1,3,6,2,2,6,2,2,5,2,6,2,3,1,4,3,2,5,4,M,PO,13,Trzy i więcej,tak
5,5,5,5,1,2,1,2,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,6,1,1,1,1,K,PO,10,Trzy i więcej,nie
2,1,2,2,3,4,4,4,2,4,3,6,5,7,3,1,1,1,1,1,1,1,1,3,3,3,5,4,5,4,5,4,3,2,3,2,3,3,3,3,2,3,2,K,PO,27,Raz,tak
2,1,1,2,3,4,4,4,2,4,3,5,3,6,3,1,1,1,1,1,1,1,1,3,3,2,2,2,3,3,3,2,2,2,2,2,2,6,2,5,2,3,2,K,PO,3,Raz,nie
3,2,3,3,1,3,3,3,3,4,3,4,3,2,2,2,1,1,1,2,1,1,1,2,1,4,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,K,PO,1,Raz,nie
3,1,1,3,4,4,4,4,3,5,3,4,5,5,4,1,1,2,1,5,1,1,1,4,4,6,1,5,1,1,4,2,2,1,1,1,1,1,1,1,1,1,3,K,PO,1,Nigdy,tak
2,2,3,1,4,4,4,4,1,3,4,5,6,6,4,1,1,1,1,2,3,1,2,4,4,3,6,5,5,2,4,5,5,3,3,1,2,3,2,5,1,5,1,K,PO,1,Nigdy,nie
